Designator,Mid X,Mid Y,Rotation,Layer
D1,76.545,-112.295,90.0,bottom
D10,67.020001,-121.897158,0.0,top
D11,86.070001,-121.897158,0.0,top
D12,105.120001,-121.897158,0.0,top
D13,67.020001,-140.947158,0.0,top
D14,86.070001,-140.947158,0.0,top
D15,105.120001,-140.947158,0.0,top
D16,67.020001,-159.997158,0.0,top
D17,86.070001,-159.997158,0.0,top
D18,105.120001,-159.997158,0.0,top
D2,95.595,-112.295,90.0,bottom
D3,114.645,-112.295,90.0,bottom
D4,76.545,-131.345,90.0,bottom
D5,95.595,-131.345,90.0,bottom
D6,114.645,-131.345,90.0,bottom
D7,76.545,-150.395,90.0,bottom
D8,95.595,-150.395,90.0,bottom
D9,114.645,-150.395,90.0,bottom
J1,94.025,-93.8,0.0,top
SW1,67.02,-110.205,0.0,top
SW10,106.0,-93.0,0.0,top
SW2,86.07,-110.205,0.0,top
SW3,105.12,-110.205,0.0,top
SW4,67.02,-129.255,0.0,top
SW5,86.07,-129.255,0.0,top
SW6,105.12,-129.255,0.0,top
SW7,67.02,-148.305,0.0,top
SW8,86.07,-148.305,0.0,top
SW9,105.12,-148.305,0.0,top
U1,84.0,-75.62,0.0,bottom
